original_sentence_id	sentence	locale
9a02fc27040c8141e403cfb5a20ebb92e289eda5ec89c4f2ec100160c220ba0d	Este un lucru care trebuie într-adevăr apreciat.	ro
9a0f810efbcf078073f334eeff745c6ca879f61358631edf80d0ca28afc40e9e	Barroso și-a schimbat de mai multe ori poziția politică.	ro
9a1c054943cbd7e41f5cfb534b36f53979ac94e04c4f7099ac958d23afcbc4e0	Răspunsul la această întrebare este evident.	ro
9a31ef3fa054985ca8e6bab7f97fd1da9da7ec0c48bd3e9c99c85c32c2cf93d6	Acesta este un act normativ redundant.	ro
9a35c49c4aec557949ef33c8da883aa5c1094c7a842de16a1121172655d178bc	Procedura a fost foarte rapidă și eficientă.	ro
9a3f518bc4178760555af4b2c3f96b9bb97016e4b0f49a33c6ef921d09235eed	Sper că se vor introduce aceste proceduri rapide.	ro
9a4b2d458f8b2d60bb672cba111cfc917a01091b609fc973831db536a5560615	Permiteţi-mi să comentez cu privire la două aspecte.	ro
9a4ed6a6a2af3216d04b27a6ad92bdff8dcd9fea3c7e59ff4bb7ecbed2667668	Ce am putea face pentru a îmbunătăţi situaţia?	ro
9a4fbffa8aafa3d2d10e3895fcb7dac896a242349b10aa20af8cdcbd26ad5e67	Nu l-am putea accepta în aceste circumstanţe.	ro
9a530b70ac5b27f1ef288b5c486ba6242e119c30635e58acbe0fbc0c0ee036d5	Este momentul să fim inteligenţi şi ambiţioşi.	ro
9a53ef28c98789442d03dfee6901eb79c5654a028db84f14868c6822e33e6e58	Autoritățile încă nu i-au permis să se înregistreze.	ro
9a60c61baef92a35555e473fca3c637e7b9d7e6a0810569366fb09d6fced36a7	Surprizele din viitor nu pot fi niciodată excluse.	ro
9a6926021f1bdfac1a5ed899bf6981a8bde07fb028530b9c14d20ce13690ea3b	Este esenţială o directivă în acest sens.	ro
9a6e0e222093e1fe8c6ccf4f6780ec8afa184d7701c0dc66a45bf652a297a2f2	Lovea birourile, a aruncat vreo trei scaune.	ro
9a70c5034eefd7768da46868899d62a1d55170bb52d5d30a52c42099a76912de	Consider că această promisiune nu este respectată.	ro
9a71b74e91aa6b5fcdfe0e9a010c79437f417a7d54cb727be5fa29adefb65ed7	Această problemă pare pur şi simplu banală.	ro
9a7c7482c7d2199207f2b016e21b65a4c0e9dcab162c7e9d715eac36cd133f13	Permiteţi-mi să îmi exprim opinia personală.	ro
9a7f5018d00f9733353f42e8f7c4c4b70aafeabc786e0cbfeb34d61492a366d7	Pieţele speculează pe marginea prăbuşirii euro.	ro
9a84ec332e566414d9899e776e1002a16d5975586f4bc3f63cf3754059ac6c90	Aceasta este ceea ce v-am rugat.	ro
9a87b41657b34d3f9d139ea05e37249da36bf505662069edd76de3e22ee53c34	Trebuie să profităm de această ocazie.	ro
